test_name,application,value,timestamp
test_query_runs_0,fasttrack,0.020570898056030275,2023-11-09 03:55:16.465105
test_query_runs_0,average,0.12972816626230876,2023-11-09 03:55:16.465105
test_query_runs_1,aim,0.14770376682281494,2023-11-09 03:55:20.464190
test_query_runs_1,mlflow,0.22693071365356446,2023-11-09 03:55:20.464190
test_query_runs_1,fasttrack,0.02508888244628906,2023-11-09 03:55:20.464190
test_query_runs_1,average,0.13324112097422283,2023-11-09 03:55:20.464190
test_query_runs_2,aim,0.16365399360656738,2023-11-09 03:55:24.807513
test_query_runs_2,mlflow,0.24936652183532715,2023-11-09 03:55:24.807513
test_query_runs_2,fasttrack,0.0211590051651001,2023-11-09 03:55:24.807513
test_query_runs_2,average,0.1447265068689982,2023-11-09 03:55:24.807513
test_query_runs_3,aim,0.15414819717407227,2023-11-09 03:55:29.187097
test_query_runs_3,mlflow,0.24812920093536378,2023-11-09 03:55:29.187097
test_query_runs_3,fasttrack,0.035545182228088376,2023-11-09 03:55:29.187097
test_query_runs_3,average,0.14594086011250815,2023-11-09 03:55:29.187097
test_iterative_access,aim,0.07956581115722657,2023-11-09 03:55:32.649459
test_iterative_access,mlflow,0.25809550285339355,2023-11-09 03:55:32.649459
test_iterative_access,fasttrack,0.008269691467285156,2023-11-09 03:55:32.649459
test_iterative_access,average,0.11531033515930177,2023-11-09 03:55:32.649459
test_random_access_0,aim,0.07717738151550294,2023-11-09 03:55:35.874167
test_random_access_0,mlflow,0.2409688949584961,2023-11-09 03:55:35.874167
test_random_access_0,fasttrack,0.003954505920410157,2023-11-09 03:55:35.874167
test_random_access_0,average,0.10736692746480307,2023-11-09 03:55:35.874167
test_random_access_1,aim,0.07628800868988037,2023-11-09 03:55:39.116260
test_random_access_1,mlflow,0.24225029945373536,2023-11-09 03:55:39.116260
test_random_access_1,fasttrack,0.005509400367736816,2023-11-09 03:55:39.116260
test_random_access_1,average,0.10801590283711753,2023-11-09 03:55:39.116260
test_random_access_2,aim,0.07556750774383544,2023-11-09 03:55:42.364963
test_random_access_2,mlflow,0.24452521800994872,2023-11-09 03:55:42.364963
test_random_access_2,fasttrack,0.004607701301574707,2023-11-09 03:55:42.364963
test_random_access_2,average,0.10823347568511961,2023-11-09 03:55:42.364963
